"Part";"Value";"Device";"Package";"Description";"";
"Q2";"MMSS8050-L";"MMSS8050-L";"SOT23";"Bipolar (BJT) Transistor NPN 25V 1.5A 100MHz 625mW Surface Mount SOT-23";"";
"Q3";"MMSS8050-L";"MMSS8050-L";"SOT23";"Bipolar (BJT) Transistor NPN 25V 1.5A 100MHz 625mW Surface Mount SOT-23";"";
"Q4";"IRLML6344TRPBFTR";"IRLML6344TRPBFTR";"SOT23-N-MOSFET";"";"";
"Q5";"FA-238V";"FA-238V";"FA238-V";"";"";
"R1";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R4";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R5";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R6";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R7";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R8";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R9";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R11";"0.1";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R12";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R13";"20";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R14";"174k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R19";"220k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R20";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R21";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R22";"10k";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";
"R23";"10k";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";
"R24";"10k";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";
"R25";"10k";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";
"R26";"10k";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";
"R27";"10k";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";
"R28";"10k";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";
"R29";"10k";"R-EU_R3216";"R3216";"RESISTOR, European symbol";"";
"R30";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R31";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R32";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R33";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R34";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R35";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R36";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R37";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R38";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R39";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R40";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R41";"0";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R42";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R43";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R44";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R45";"360k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R46";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R47";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R48";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R49";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R50";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R51";"470";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R52";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R57";"2.4k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"SP1";"PKLCS1212E4001-R1";"PKLCS1212E4001-R1";"PKLCS1212E4001-R1";"";"";
"SW1";"SKRPACE010";"SKRPACE010";"SKRPACE010";"";"";
"SW2";"SKRPACE010";"SKRPACE010";"SKRPACE010";"";"";
"SW3";"SKHHLPA010";"SKHHLPA010";"SKHHLPA010";"";"";
"SW4";"SKHHLPA010";"SKHHLPA010";"SKHHLPA010";"";"";
"SW5";"SKHHLPA010";"SKHHLPA010";"SKHHLPA010";"";"";
"SW6";"SKRPACE010";"SKRPACE010";"SKRPACE010";"";"";
"U2";"ESP-WROOM-32";"ESP-WROOM-32";"ESP-WROOM-32";"";"";
"U3";"LM3478";"LM3478";"SOIC8-LT";"";"";
"U4";"DS3231M";"DS3231M";"SO08";"DS3231M Real Time Clock";"";
"U5";"SN75468";"SN75468";"R-PDSO-G16";"";"";
"U6";"74HC595D";"74HC595D";"SO16";"8-bit SHIFT REGISTER, output latch";"";
"U7";"SN75468";"SN75468";"R-PDSO-G16";"";"";
"U8";"MCP4017";"MCP4017";"SC-70-MICROCHIP";"";"";
"U9";"BME280";"BME280";"LGA-8-2.5X2.5";"Bosch BME280 &ndash; Combined Humidity and Pressure Sensor";"";
"U10";"TLP188";"TLP188";"11-4M1S";"";"";
"U11";"TLP188";"TLP188";"11-4M1S";"";"";
"U12";"TLP188";"TLP188";"11-4M1S";"";"";
"U13";"TLP188";"TLP188";"11-4M1S";"";"";
"U14";"TLP188";"TLP188";"11-4M1S";"";"";
"U15";"TLP188";"TLP188";"11-4M1S";"";"";
"U16";"TLP188";"TLP188";"11-4M1S";"";"";
"U17";"TLP188";"TLP188";"11-4M1S";"";"";
"U18";"ATMEGA328P-AU-TQFP32";"MCU-ATMEGA328P-AU(TQFP32)";"TQFP32-0.8-7X7MM";"310010049";"";
"U19";"74HC595D";"74HC595D";"SO16";"8-bit SHIFT REGISTER, output latch";"";
"U20";"ADP3338AKCZ-3.3";"ADP3338AKCZ-3.3";"SOT233";"";"";
"U21";"FT232RL";"FT232RL";"SSOP28";"Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf";"";
"U22";"FT232RL";"FT232RL";"SSOP28";"Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf";"";
