"Part";"Value";"Device";"Package";"Description";"";
"J3";"FSM-21045-7";"FSM-21045-7";"FSM-21045-7";"";"";
"J4";"PSM-210223-7";"PSM-210223-7";"PSM-210223-7";"";"";
"J5";"PSM-210223-7";"PSM-210223-7";"PSM-210223-7";"";"";
"J6";"FSM-21045-7";"FSM-21045-7";"FSM-21045-7";"";"";
"L1";"NR10050T470M";"NR10050T470M";"NR10050T100M";"";"";
"LED1";"RX";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"LED2";"TX";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"Q1";"BSS138";"BSS138";"SOT23-N-MOSFET";"";"";
"Q2";"BSS138";"BSS138";"SOT23-N-MOSFET";"";"";
"R1";"27k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R2";"8.2k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R3";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R4";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R5";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R6";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R7";"27k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R8";"3.3k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R9";"3.3k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R10";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R11";"27k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R12";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R13";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R14";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R15";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R17";"27";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R18";"27";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R20";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R21";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R23";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R24";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R25";"4.7k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"SW1";"SKRPACE010";"SKRPACE010";"SKRPACE010";"";"";
"SW2";"SKRPACE010";"SKRPACE010";"SKRPACE010";"";"";
"SW3";"JTP1230D";"JTP1230D";"JTP1230D";"";"";
"SW4";"JTP1230D";"JTP1230D";"JTP1230D";"";"";
"SW5";"JTP1230D";"JTP1230D";"JTP1230D";"";"";
"SW6";"JTP1230D";"JTP1230D";"JTP1230D";"";"";
"U1";"FT231XS";"FT231XS";"SSOP20_L";"FTDI FT231X Full Speed USB to Full-handshake UART";"";
"U2";"MAX6921AWI+";"MAX6921AWI+";"SOIC-28-MI";"";"";
"U3";"NJW4131";"NJW4131";"HSOP8";"";"";
"U4";"DS3231M";"DS3231M";"SO08";"DS3231M Real Time Clock";"";
"U5";"ADP3338AKCZ-3.3";"ADP3338AKCZ-3.3";"SOT233";"";"";
"U6";"PSF-A85";"PSF-A85";"PSF-A85";"";"";
"U9";"BME280";"BME280";"LGA-8-2.5X2.5";"Bosch BME280 &ndash; Combined Humidity and Pressure Sensor";"";
"VR1";"PVZ3A104C01";"PVZ3A104C01";"PVZ3A";"";"";
